Year,Team ID,Team Name Override,Conference ID,Conference Override,Division ID,Division Override,Logo File Override,GP,W,L,T (OTL),PTS,GF,GA,Goal Differential,Result,PIM/G,PPG,PPG Against,PP Ch,SHG,SHG Against,SHC,PP%,PK%,Shots,Shots Against
1973-74,3,,,,,East,,78,35,27,16,86,274,230,44,Lost Quarterfinals,11.4,51,49,280,5,7,266,18.21,81.58,2712,2275
1973-74,17,,,,,East,,78,32,34,12,76,242,250,-8,Missed Playoffs,10.1,48,42,256,5,12,237,18.75,82.28,2435,2242
1973-74,9,,,,,East,,78,29,39,10,68,255,319,-64,Missed Playoffs,11.7,59,49,274,8,13,238,21.53,79.41,2328,2510
1973-74,18,,,,,East,,78,24,43,11,59,224,296,-72,Missed Playoffs,11.9,55,70,279,4,8,269,19.71,73.98,2202,2476
1973-74,20,,,,,East,,78,19,41,18,56,182,247,-65,Missed Playoffs,13.7,32,64,230,7,13,262,13.91,75.57,2026,2390
1973-74,14,,,,,West,,78,50,16,12,112,273,164,109,BOWL CUP CHAMPION,22.2,60,49,269,20,6,422,22.3,88.39,2643,2211
1973-74,8,,,,,West,,78,41,14,23,105,272,164,108,Lost Semi-Finals,11.2,55,26,255,8,6,208,21.57,87.5,2135,2247
1973-74,11,,,,,West,,78,33,33,12,78,233,231,2,Lost Quarterfinals,13.5,43,48,284,5,9,246,15.14,80.49,2261,2269
1973-74,19,,,,,West,,78,30,34,14,74,214,238,-24,Lost Quarterfinals,10.6,44,45,264,1,6,223,16.67,79.82,2381,2371
1973-74,15,,,,,West,,78,28,41,9,65,242,273,-31,Missed Playoffs,12.1,47,47,276,12,4,245,17.03,80.82,2461,2313
1973-74,16,,,,,West,,78,26,40,12,64,206,248,-42,Missed Playoffs,14.6,39,56,275,4,9,313,14.18,82.11,2254,2424
1973-74,12,,,,,West,,78,23,38,17,63,235,275,-40,Missed Playoffs,10.5,37,51,207,5,6,254,17.87,79.92,2466,2610
1973-74,,California Golden Seals,,,,West,,78,13,55,10,36,195,342,-147,Missed Playoffs,8.3,34,46,268,6,14,221,12.69,79.19,1993,2700
1974-75,17,,,Prince of Wales,,Adams,,80,49,16,15,113,354,240,114,Lost Cup Finals,,,,,,,,,,,
1974-75,5,,,Prince of Wales,,Adams,,80,40,26,14,94,345,245,100,Lost Preliminary Round,,,,,,,,,,,
1974-75,3,,,Prince of Wales,,Adams,,80,31,33,16,78,280,309,-29,Lost Quarterfinals,,,,,,,,,,,
1974-75,,California Golden Seals,,Prince of Wales,,Adams,,80,19,48,13,51,212,316,-104,Missed Playoffs,,,,,,,,,,,
1974-75,0,,,Prince of Wales,,Norris,,80,47,14,19,113,374,225,149,Lost Semi-Finals,,,,,,,,,,,
1974-75,11,,,Prince of Wales,,Norris,,80,42,17,21,105,269,185,84,Lost Preliminary Round,,,,,,,,,,,
1974-75,15,,,Prince of Wales,,Norris,,80,37,28,15,89,326,289,37,Lost Quarterfinals,,,,,,,,,,,
1974-75,9,,,Prince of Wales,,Norris,,80,23,45,12,58,259,335,-76,Missed Playoffs,,,,,,,,,,,
1974-75,22,,,Prince of Wales,,Norris,,80,8,67,5,21,181,446,-265,Missed Playoffs,,,,,,,,,,,
1974-75,14,,,Clarence Campbell,,Patrick,,80,51,18,11,113,293,181,112,BOWL CUP CHAMPION,,,,,,,,,,,
1974-75,10,,,Clarence Campbell,,Patrick,,80,37,29,14,88,319,276,43,Lost Preliminary Round,,,,,,,,,,,
1974-75,20,,,Clarence Campbell,,Patrick,,80,33,25,22,88,264,221,43,Lost Semi-Finals,,,,,,,,,,,
1974-75,19,,,Clarence Campbell,,Patrick,,80,34,31,15,83,243,233,10,Missed Playoffs,,,,,,,,,,,
1974-75,18,,,Clarence Campbell,,Smythe,,80,38,32,10,86,271,254,17,Lost Quarterfinals,,,,,,,,,,,
1974-75,16,,,Clarence Campbell,,Smythe,,80,35,31,14,84,269,267,2,Lost Preliminary Round,,,,,,,,,,,
1974-75,8,,,Clarence Campbell,,Smythe,,80,37,35,6,82,268,241,27,Lost Quarterfinals,,,,,,,,,,,
1974-75,12,,,Clarence Campbell,,Smythe,,80,23,50,7,53,221,341,-120,Missed Playoffs,,,,,,,,,,,
1974-75,21,,,Clarence Campbell,,Smythe,,80,15,54,11,41,184,328,-144,Missed Playoffs,,,,,,,,,,,
