PlayerId;DraftId;Year;Round;Pick;Overall;Tam;Picked From
3060;0;1948;2;1;7;10;57
3062;0;1948;1;6;6;9;57
2686;0;1945;1;6;6;3;57
2688;0;1945;3;4;16;5;57
2690;0;1945;4;5;23;0;57
182;0;1944;3;3;15;10;57
3133;0;1949;2;5;11;3;57
2701;0;1945;4;2;20;8;57
2702;0;1945;3;3;15;9;57
3135;0;1949;2;2;8;0;57
2707;0;1945;3;1;13;10;57
514;0;1944;2;6;12;3;57
2708;0;1945;2;4;10;5;57
582;0;1944;3;4;16;0;57
3153;0;1949;1;3;3;9;57
3157;0;1949;2;1;7;8;57
3354;0;1949;4;1;19;8;59
3355;0;1949;4;4;22;5;59
2730;0;1944;4;5;23;9;89
2732;0;1944;4;2;20;5;89
2929;0;1945;3;6;18;3;57
2945;0;1947;2;1;7;9;57
3041;0;1948;1;4;4;9;57
2697;0;1945;1;2;2;5;57
2699;0;1945;4;1;19;10;57
3317;0;1950;4;2;20;5;57
2819;0;1946;4;6;24;9;57
2820;0;1946;4;2;20;10;57
2705;0;1945;4;6;24;3;57
2824;0;1946;2;1;7;3;57
2709;0;1945;4;4;22;5;57
3437;0;1951;2;2;8;5;57
3329;0;1950;4;6;24;10;57
3451;0;1951;2;4;10;0;57
3147;0;1949;3;5;17;3;57
3340;0;1950;1;5;5;9;57
3342;0;1950;2;2;8;5;57
3348;0;1950;2;1;7;3;57
3349;0;1950;2;3;9;8;57
2717;0;1945;3;5;17;0;57
2850;0;1946;2;5;11;5;57
2862;0;1945;4;3;21;9;89
2875;0;1945;3;2;14;8;58
2987;0;1946;1;6;6;9;89
3002;0;1946;4;3;21;0;57
3541;0;1952;1;4;4;3;57
3550;0;1952;1;6;6;9;57
3445;0;1951;2;3;9;10;57
3331;0;1950;3;3;15;8;57
3577;0;1952;1;5;5;10;57
