LeagueId;Year;Award Name;Award Description;PlayerId;Retired
10;2013;Mike Richter Award;Best Goalie;3444;0
10;2014;Mike Richter Award;Best Goalie;3794;0
10;2015;Mike Richter Award;Best Goalie;3760;0
10;2019;Mike Richter Award;Best Goalie;3407;0
10;2023;Tim Taylor Award;Best Rookie;661;0
10;2023;First All-American LW;Postseason Allstar 1 LW;7902;0
11;2004;Red Tilson Trophy;MVP;645;0
11;2006;Red Tilson Trophy;MVP;828;0
11;2009;Red Tilson Trophy;MVP;748;0
11;2010;Red Tilson Trophy;MVP;1067;0
11;2011;Red Tilson Trophy;MVP;1713;0
11;2012;Red Tilson Trophy;MVP;1873;0
11;2013;Red Tilson Trophy;MVP;1609;0
11;2014;Red Tilson Trophy;MVP;14785;0
11;2015;Red Tilson Trophy;MVP;16808;0
11;2019;Red Tilson Trophy;MVP;5577;0
11;2024;Red Tilson Trophy;MVP;2886;0
11;2004;Wayne Gretzky 99 Award;Playoff MVP;645;0
11;2008;Wayne Gretzky 99 Award;Playoff MVP;335;0
11;2009;Wayne Gretzky 99 Award;Playoff MVP;358;0
11;2011;Wayne Gretzky 99 Award;Playoff MVP;1886;0
11;2012;Wayne Gretzky 99 Award;Playoff MVP;1711;0
11;2013;Wayne Gretzky 99 Award;Playoff MVP;14915;0
11;2014;Wayne Gretzky 99 Award;Playoff MVP;14785;0
11;2015;Wayne Gretzky 99 Award;Playoff MVP;16808;0
11;2016;Wayne Gretzky 99 Award;Playoff MVP;1691;0
11;2024;Wayne Gretzky 99 Award;Playoff MVP;4883;0
11;2011;OHL Goaltender of the Year;Best Goalie;1713;0
11;2012;OHL Goaltender of the Year;Best Goalie;1595;0
11;2013;OHL Goaltender of the Year;Best Goalie;14948;0
11;2019;OHL Goaltender of the Year;Best Goalie;3953;0
11;2007;Max Kaminsky Trophy;Best Defenceman;209;0
11;2008;Max Kaminsky Trophy;Best Defenceman;1067;0
11;2010;Max Kaminsky Trophy;Best Defenceman;1067;0
11;2011;Max Kaminsky Trophy;Best Defenceman;1699;0
11;2012;Max Kaminsky Trophy;Best Defenceman;1855;0
11;2013;Max Kaminsky Trophy;Best Defenceman;1662;0
11;2014;Max Kaminsky Trophy;Best Defenceman;1644;0
11;2016;Max Kaminsky Trophy;Best Defenceman;14911;0
11;2005;Emms Family Award;Best Rookie;828;0
11;2006;Emms Family Award;Best Rookie;425;0
11;2007;Emms Family Award;Best Rookie;335;0
11;2008;Emms Family Award;Best Rookie;307;0
11;2009;Emms Family Award;Best Rookie;1812;0
11;2010;Emms Family Award;Best Rookie;1898;0
11;2011;Emms Family Award;Best Rookie;1662;0
11;2012;Emms Family Award;Best Rookie;14785;0
11;2013;Emms Family Award;Best Rookie;16356;0
11;2018;Emms Family Award;Best Rookie;13051;0
11;2019;Emms Family Award;Best Rookie;13139;0
11;2022;Emms Family Award;Best Rookie;2886;0
11;2001;Eddie Powers Trophy;Most Points;770;0
11;2004;Eddie Powers Trophy;Most Points;645;0
11;2006;Eddie Powers Trophy;Most Points;425;0
11;2008;Eddie Powers Trophy;Most Points;828;0
11;2009;Eddie Powers Trophy;Most Points;748;0
11;2010;Eddie Powers Trophy;Most Points;1872;0
11;2011;Eddie Powers Trophy;Most Points;1842;0
11;2012;Eddie Powers Trophy;Most Points;1873;0
11;2013;Eddie Powers Trophy;Most Points;1609;0
11;2014;Eddie Powers Trophy;Most Points;16358;0
11;2015;Eddie Powers Trophy;Most Points;3829;0
11;2017;Eddie Powers Trophy;Most Points;16793;0
11;2019;Eddie Powers Trophy;Most Points;5577;0
11;2024;Eddie Powers Trophy;Most Points;2886;0
11;2013;Dave Pinkney Trophy;Least Goals Against;14914;0
11;2014;Dave Pinkney Trophy;Least Goals Against;16534;0
11;2017;Dave Pinkney Trophy;Least Goals Against;3399;0
11;2009;William Hanley Trophy;Sportsmanship Award;1854;0
11;2010;William Hanley Trophy;Sportsmanship Award;980;0
11;2011;William Hanley Trophy;Sportsmanship Award;960;0
11;2012;William Hanley Trophy;Sportsmanship Award;1693;0
11;2013;William Hanley Trophy;Sportsmanship Award;14785;0
11;2014;William Hanley Trophy;Sportsmanship Award;16358;0
11;2015;William Hanley Trophy;Sportsmanship Award;14781;0
11;2022;William Hanley Trophy;Sportsmanship Award;13702;0
11;2008;Dan Snyder Trophy;Dedication Award;1293;0
11;2009;Dan Snyder Trophy;Dedication Award;1417;0
11;2013;Dan Snyder Trophy;Dedication Award;1846;0
11;2014;Dan Snyder Trophy;Dedication Award;5470;0
11;2016;Dan Snyder Trophy;Dedication Award;16819;0
11;2017;Dan Snyder Trophy;Dedication Award;16819;0
11;2019;Dan Snyder Trophy;Dedication Award;3385;0
11;2008;Mickey Renaud Captains Trophy;Leadership Award;1293;0
11;2010;Mickey Renaud Captains Trophy;Leadership Award;1067;0
11;2011;Mickey Renaud Captains Trophy;Leadership Award;1567;0
11;2012;Mickey Renaud Captains Trophy;Leadership Award;1770;0
11;2014;Mickey Renaud Captains Trophy;Leadership Award;1652;0
11;2016;Mickey Renaud Captains Trophy;Leadership Award;14946;0
11;2017;Mickey Renaud Captains Trophy;Leadership Award;16780;0
11;2023;Postseason Allstar 2 D1;Postseason Allstar 2 D1;5268;0
11;2023;Rookie Team LW;Rookie Team LW;13240;0
11;2022;Bobby Smith Trophy;Top Academic Player;9289;0
11;2024;Bobby Smith Trophy;Top Academic Player;2886;0
12;2009;Four Broncos Memorial Trophy;MVP;226;0
12;2010;Four Broncos Memorial Trophy;MVP;1444;0
12;2011;Four Broncos Memorial Trophy;MVP;2183;0
12;2012;Four Broncos Memorial Trophy;MVP;2082;0
12;2013;Four Broncos Memorial Trophy;MVP;2161;0
12;2014;Four Broncos Memorial Trophy;MVP;7125;0
12;2015;Four Broncos Memorial Trophy;MVP;2047;0
12;2019;Four Broncos Memorial Trophy;MVP;10411;0
12;2021;Four Broncos Memorial Trophy;MVP;14122;0
12;2022;Four Broncos Memorial Trophy;MVP;13138;0
12;2024;Four Broncos Memorial Trophy;MVP;670;0
12;2004;WHL Playoff MVP;Playoff MVP;883;0
12;2008;WHL Playoff MVP;Playoff MVP;586;0
12;2011;WHL Playoff MVP;Playoff MVP;1936;0
12;2012;WHL Playoff MVP;Playoff MVP;2158;0
12;2014;WHL Playoff MVP;Playoff MVP;11021;0
12;2016;WHL Playoff MVP;Playoff MVP;16354;0
12;2021;WHL Playoff MVP;Playoff MVP;3336;0
12;2006;Del Wilson Trophy;Best Goalie;678;0
12;2010;Del Wilson Trophy;Best Goalie;1444;0
12;2012;Del Wilson Trophy;Best Goalie;1914;0
12;2014;Del Wilson Trophy;Best Goalie;6644;0
12;2019;Del Wilson Trophy;Best Goalie;10431;0
12;2020;Del Wilson Trophy;Best Goalie;10431;0
12;2021;Del Wilson Trophy;Best Goalie;5978;0
12;2008;Bill Hunter Trophy;Best Defenceman;64;0
12;2010;Bill Hunter Trophy;Best Defenceman;1066;0
12;2011;Bill Hunter Trophy;Best Defenceman;2142;0
12;2013;Bill Hunter Trophy;Best Defenceman;2149;0
12;2014;Bill Hunter Trophy;Best Defenceman;2210;0
12;2007;Jim Piggott Trophy;Best Rookie;736;0
12;2009;Jim Piggott Trophy;Best Rookie;950;0
12;2010;Jim Piggott Trophy;Best Rookie;1982;0
12;2011;Jim Piggott Trophy;Best Rookie;2161;0
12;2012;Jim Piggott Trophy;Best Rookie;3817;0
12;2017;Jim Piggott Trophy;Best Rookie;4823;0
12;2021;Jim Piggott Trophy;Best Rookie;13138;0
12;2023;Jim Piggott Trophy;Best Rookie;670;0
12;2024;Jim Piggott Trophy;Best Rookie;3310;0
12;2020;No Award;Most Goals;6839;0
12;2010;Bob Clarke Trophy;Most Points;1311;0
12;2011;Bob Clarke Trophy;Most Points;2183;0
12;2012;Bob Clarke Trophy;Most Points;2075;0
12;2014;Bob Clarke Trophy;Most Points;7125;0
12;2015;Bob Clarke Trophy;Most Points;14710;0
12;2019;Bob Clarke Trophy;Most Points;10411;0
12;2021;Bob Clarke Trophy;Most Points;8937;0
12;2022;Bob Clarke Trophy;Most Points;13138;0
12;2005;WHL Plus-Minus Award;Highest Plus-Minus;14990;0
12;2006;WHL Plus-Minus Award;Highest Plus-Minus;64;0
12;2007;WHL Plus-Minus Award;Highest Plus-Minus;1274;0
12;2008;WHL Plus-Minus Award;Highest Plus-Minus;671;0
12;2010;WHL Plus-Minus Award;Highest Plus-Minus;1066;0
12;2011;WHL Plus-Minus Award;Highest Plus-Minus;2201;0
12;2011;WHL Plus-Minus Award;Highest Plus-Minus;2245;0
12;2012;WHL Plus-Minus Award;Highest Plus-Minus;2140;0
12;2014;WHL Plus-Minus Award;Highest Plus-Minus;7125;0
12;2020;WHL Plus-Minus Award;Highest Plus-Minus;5890;0
12;2021;WHL Plus-Minus Award;Highest Plus-Minus;12546;0
12;2024;WHL Plus-Minus Award;Highest Plus-Minus;670;0
12;2009;Brad Hornung Trophy;Sportsmanship Award;4523;0
12;2011;Brad Hornung Trophy;Sportsmanship Award;2201;0
12;2012;Brad Hornung Trophy;Sportsmanship Award;2242;0
12;2013;Brad Hornung Trophy;Sportsmanship Award;2161;0
12;2014;Brad Hornung Trophy;Sportsmanship Award;14648;0
12;2021;Brad Hornung Trophy;Sportsmanship Award;14122;0
12;2009;Doug Wickenheiser Trophy;Dedication Award;1082;0
12;2011;Doug Wickenheiser Trophy;Dedication Award;2225;0
12;2012;Doug Wickenheiser Trophy;Dedication Award;2209;0
12;2015;Doug Wickenheiser Trophy;Dedication Award;14686;0
12;2016;Doug Wickenheiser Trophy;Dedication Award;14686;0
12;2022;Doug Wickenheiser Trophy;Dedication Award;14122;0
13;2003;Michel Brière Trophy;MVP;174;0
13;2004;Michel Brière Trophy;MVP;174;0
13;2005;Michel Brière Trophy;MVP;8371;0
13;2009;Michel Brière Trophy;MVP;1118;0
13;2010;Michel Brière Trophy;MVP;928;0
13;2011;Michel Brière Trophy;MVP;2359;0
13;2012;Michel Brière Trophy;MVP;14852;0
13;2013;Michel Brière Trophy;MVP;2419;0
13;2014;Michel Brière Trophy;MVP;14857;0
13;2017;Michel Brière Trophy;MVP;16476;0
13;2018;Michel Brière Trophy;MVP;3322;0
13;2019;Michel Brière Trophy;MVP;3322;0
13;2004;Guy Lafleur Trophy;Playoff MVP;174;0
13;2005;Guy Lafleur Trophy;Playoff MVP;8250;0
13;2007;Guy Lafleur Trophy;Playoff MVP;296;0
13;2010;Guy Lafleur Trophy;Playoff MVP;2377;0
13;2011;Guy Lafleur Trophy;Playoff MVP;3173;0
13;2012;Guy Lafleur Trophy;Playoff MVP;14852;0
13;2013;Guy Lafleur Trophy;Playoff MVP;2269;0
13;2014;Guy Lafleur Trophy;Playoff MVP;2327;0
13;2016;Guy Lafleur Trophy;Playoff MVP;16557;0
13;2017;Guy Lafleur Trophy;Playoff MVP;16979;0
13;2023;Guy Lafleur Trophy;Playoff MVP;541;0
13;2002;Jacques Plante Memorial Trophy;Best Goalie;2607;0
