,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ART ROSS TROPHY,,,,RICHARD TROPHY,,,,NORRIS TROPHY,,,,BOURQUE TROPHY,,,,LANGWAY TROPHY,,,,CALDER TROPHY,,,,SELKE TROPHY,,
Season's Leading Scorer,,,,Season's Goal Scoring Leader,,,,Season's Best Defenseman,,,,Season's Goal Scoring Leader - Defensemen,,,,Season's Best Defensive Defenseman,,,,Season's Rookie of the Year,,,,Season's Best Defensive Forward,,
Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player
"Best Examplifies Perservance,
Sportsmanship and Dedication to Hockey",,,,Season's Team with Most Points,,,,Season's Winner of the East Conference,,,,Season's Winner of the West Conference,,,,Season's League Championship,,,,General Manager of the Year,,,,Leadership Award,,
Season,Team,POS-Player,,Season,Team,Team Name,,Season,Team,Team Name,,Season,Team,Team Name,,Season,Team,Team Name,,Season,Team,Team Name,,Season,Team,POS-Player
1942-43,,Earl Seibert,,1942-43,,Toronto Maple Leafs,,,,,,,,,,1942-43,,Detroit Red Wings,,1942-43,,Skyler,,1942-43,,Syl Apps
1943-44,,Sweeney Schriner,,1943-44,,Toronto Maple Leafs,,,,,,,,,,1943-44,,Montreal Canadiens,,1943-44,,Choog,,1943-44,,Elmer Lach
1944-45,,Toe Blake,,1944-45,,Toronto Maple Leafs,,,,,,,,,,1944-45,,Detroit Red Wings,,1944-45,,Skyler,,1944-45,,Toe Blake
1945-46,,Syd Howe,,1945-46,,Detroit Red Wings,,,,,,,,,,1945-46,,Detroit Red Wings,,1945-46,,Ember,,1945-46,,Earl Seibert
1946-47,,Bobby Bauer,,1946-47,,Montreal Canadiens,,,,,,,,,,1946-47,,Chicago Black Hawks,,1946-47,,Choog,,1946-47,,Butch Bouchard
1947-48,,Syl Apps,,1947-48,,Montreal Canadiens,,,,,,,,,,1947-48,,Chicago Black Hawks,,1947-48,,LilBoiLoui,,1947-48,,Milt Schmidt
1948-49,,Sid Abel,,1948-49,,Montreal Canadiens,,,,,,,,,,1948-49,,Detroit Red Wings,,1948-49,,Skyler,,1948-49,,Sid Abel
1949-50,,Max Bentley,,1949-50,,New York Rangers,,,,,,,,,,1949-50,,New York Rangers,,1949-50,,Choog,,1949-50,,Roy Conacher
1950-51,,Jack Stewart,,1950-51,,Detroit Red Wings,,,,,,,,,,1950-51,,Detroit Red Wings,,1950-51,,OilEmpire,,1950-51,,Maurice Richard
1951-52,,Elmer Lach,,1951-52,,Detroit Red Wings,,,,,,,,,,1951-52,,Detroit Red Wings,,1951-52,,Skyler,,1951-52,,Jim Conacher
1952-53,,Butch Bouchard,,1952-53,,Chicago Black Hawks,,,,,,,,,,1952-53,,New York Rangers,,1952-53,,OilEmpire,,1952-53,,Max Bentley
1953-54,,Maurice Richard,,1953-54,,Montreal Canadiens,,,,,,,,,,1953-54,,Montreal Canadiens,,1953-54,,LilBoiLoui,,1953-54,,Red Kelly
1954-55,,Bill Mosienko,,1954-55,,Detroit Red Wings,,,,,,,,,,1954-55,,New York Rangers,,1954-55,,MSO94,,1954-55,,Pete Babando
1955-56,,Red Kelly,,1955-56,,New York Rangers,,,,,,,,,,1955-56,,New York Rangers,,1955-56,,Choog,,1955-56,,Doug Barkley
1956-57,,Ted Kennedy,,1956-57,,New York Rangers,,,,,,,,,,1956-57,,Montreal Canadiens,,1956-57,,MatTheHab,,1956-57,,Gary Bergman
1957-58,,Bill Hay,,1957-58,,Boston Bruins,,,,,,,,,,1957-58,,Boston Bruins,,1957-58,,Joey,,1957-58,,Wayne Connelly
1958-59,,Ted Lindsay,,1958-59,,Boston Bruins,,,,,,,,,,1958-59,,Boston Bruins,,1958-59,,Joey,,1958-59,,George Armstrong
1959-60,,Claude Provost,,1959-60,,Boston Bruins,,,,,,,,,,1959-60,,Boston Bruins,,1959-60,,Joey,,1959-60,,Ralph Backstrom
1960-61,,Ron Stewart,,1960-61,,Boston Bruins,,,,,,,,,,1960-61,,Boston Bruins,,1960-61,,Tidus Mino,,1960-61,,Dave Balon
1961-62,,Tom Johnson,,1961-62,,Montreal Canadiens,,,,,,,,,,1961-62,,Boston Bruins,,1961-62,,Choog,,1961-62,,Red Berenson
1962-63,,Doug Harvey,,1962-63,,New York Rangers,,,,,,,,,,1962-63,,Toronto Maple Leafs,,1962-63,,Choog,,1962-63,,Lou Angotti
1963-64,,Gordie Howe,,1963-64,,Boston Bruins,,,,,,,,,,1963-64,,Boston Bruins,,1963-64,,Joey,,1963-64,,Paul Andrea
1964-65,,Tim Horton,,1964-65,,Boston Bruins,,,,,,,,,,1964-65,,Boston Bruins,,1964-65,,Stlrs95,,1964-65,,Bob Baun
1965-66,,Johnny Bucyk,,1965-66,,Toronto Maple Leafs,,,,,,,,,,1965-66,,Boston Bruins,,1965-66,,Parchie,,1965-66,,Barry Ashbee
1966-67,,Pierre Pilote,,1966-67,,Boston Bruins,,,,,,,,,,1966-67,,Toronto Maple Leafs,,1966-67,,Joey,,1966-67,,Carl Brewer
1967-68,,Ted Hampson,,1967-68,,Toronto Maple Leafs,,,,,,,,,,1967-68,,Toronto Maple Leafs,,1967-68,,Skyvendrake,,1967-68,,Norm Beaudin
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGER CROZIER SAVING GRACE TROPHY,,,,PLUS/MINUS TROPHY,,,,THE MASTERS' GREEN JACKET,,,,BOWL RISING STAR,,,,,,,,,,,,,,
Season's Best Save Percentage,,,,Best Plus/Minus Award,,,,Worst Plus/Minus Award,,,,Prospect of the Year,,,,,,,,,,,,,,
